t,n_valid,speed_relerr,tau_corr,tau_sign_agree,tau_bulk_mean_relerr,ramp_confounded
0,149212,0,nan,1,0,1
0.0595549,149212,0.000152994,-0.961977,0.0864207,0.0224763,1
0.11911,149212,3.11071e-05,0.646594,0.330329,-0.0129115,1
0.178665,149214,6.86695e-05,0.757947,0.82322,0.0118441,1
0.238219,149216,2.53945e-05,0.984162,0.941159,0.00944921,1
0.297774,149215,9.04673e-05,0.430227,0.289341,0.0077981,1
0.357329,149214,1.1882e-05,0.987991,0.974051,-0.00565838,1
0.416884,149212,0.000117461,0.959173,0.135988,-0.0115326,1
0.476439,149213,2.8043e-05,0.996473,0.723322,0.000186102,1
0.535994,149216,7.31468e-05,0.955468,0.294694,0.015597,1
0.595549,149237,2.97143e-05,0.844371,0.931337,0.0018509,1
0.655103,149217,6.41083e-05,0.856441,0.205908,-0.00154769,1
0.714658,149211,2.9537e-05,0.997239,0.838095,-0.000379116,1
0.774213,149215,3.60105e-05,0.999075,0.67321,-0.000350794,1
0.833768,149218,1.81257e-05,0.997333,0.67644,-0.000342968,1
0.893323,149205,4.36422e-05,0.984998,0.408069,0.000503827,1
0.952878,149216,2.00437e-05,0.991735,0.875623,0.00574629,1
1.01243,149213,4.01026e-05,0.999512,0.61059,0.000303102,1
1.07199,149216,3.36187e-05,0.999471,0.744451,-0.000156368,1
1.13154,149214,2.84549e-05,0.999072,0.649497,0.000140336,1
1.1911,149211,6.25302e-05,0.990559,0.81931,0.0100567,1
1.25065,149216,4.75319e-05,0.980539,0.336526,0.000255608,1
1.31021,149214,4.57789e-05,0.999502,0.648605,0.000129017,1
1.36976,149212,2.38671e-05,0.999642,0.692518,-0.000429414,1
1.42932,149215,3.69397e-05,0.999409,0.681667,-0.000246555,1
1.48887,149209,3.87269e-05,0.99936,0.657688,7.7247e-05,1
1.54843,149218,5.33017e-05,0.983972,0.36568,-0.00153555,1
1.60798,149214,4.15809e-05,0.99939,0.628131,-6.01927e-05,1
1.66754,149211,2.24572e-05,0.999583,0.711435,-0.000344045,1
1.72709,149215,4.05924e-05,0.999606,0.670804,-8.25803e-05,1
1.78665,149208,3.50686e-05,0.998194,0.648719,0.000137121,1
1.8462,149223,2.44887e-05,0.975762,0.786079,-0.00806032,1
1.90576,149217,3.89996e-05,0.999216,0.657981,-0.000115122,1
1.96531,149218,1.75775e-05,0.999728,0.67585,-0.000730578,1
2.02487,149212,3.83074e-05,0.999764,0.673646,-0.000216712,1
2.08442,149211,2.61411e-05,0.999103,0.647137,0.000127991,1
2.14397,149201,4.09032e-05,0.974612,0.432591,-0.000919556,1
2.20353,149212,3.67265e-05,0.999584,0.627403,0.000328945,1
2.26308,149216,2.13537e-05,0.999821,0.68756,-0.00106718,1
2.32264,149215,4.1318e-05,0.999892,0.678906,-0.000149343,1
2.38219,149212,2.21167e-05,0.999545,0.678397,-0.000291666,1
2.44175,149240,2.8937e-05,0.983485,0.861418,-0.000548824,1
2.5013,149223,3.81463e-05,0.999524,0.612305,1.0712e-05,1
2.56086,149211,1.95442e-05,0.999822,0.656882,-0.00215549,1
2.62041,149218,4.4137e-05,0.999445,0.667272,-0.00855817,1
