,0
0,FINISHED
1,FINISHED
2,FINISHED
3,FINISHED
4,FINISHED
5,FINISHED
6,FINISHED
7,FINISHED
8,FINISHED
9,FINISHED
10,FINISHED
11,FINISHED
12,FINISHED
13,FINISHED
14,FINISHED
15,FINISHED
16,FINISHED
17,FINISHED
18,FINISHED
19,FINISHED
20,FINISHED
21,FINISHED
22,FINISHED
23,FINISHED
24,FINISHED
25,FINISHED
26,FINISHED
27,FINISHED
28,FINISHED
29,FINISHED
30,FINISHED
31,FINISHED
32,FINISHED
33,FINISHED
34,FINISHED
35,FINISHED
36,FINISHED
37,FINISHED
38,FINISHED
39,FINISHED
40,FINISHED
41,FINISHED
42,FINISHED
43,FINISHED
44,FINISHED
45,FINISHED
46,FINISHED
47,FINISHED
48,FINISHED
49,FINISHED
50,FINISHED
51,FINISHED
52,FINISHED
53,FINISHED
54,FINISHED
55,FINISHED
56,FINISHED
57,FINISHED
58,FINISHED
59,FINISHED
60,FINISHED
61,FINISHED
62,FINISHED
63,FINISHED
64,FINISHED
65,FINISHED
66,FINISHED
67,FINISHED
68,FINISHED
69,FINISHED
70,FINISHED
71,FINISHED
72,FINISHED
73,FINISHED
74,FINISHED
75,FINISHED
76,FINISHED
77,FINISHED
78,FINISHED
79,FINISHED
80,FINISHED
81,FINISHED
82,FINISHED
83,FINISHED
84,FINISHED
85,FINISHED
86,FINISHED
87,FINISHED
88,FINISHED
89,FINISHED
90,FINISHED
91,FINISHED
92,FINISHED
93,FINISHED
94,FINISHED
95,FINISHED
96,FINISHED
97,FINISHED
98,FINISHED
