,run_id,omega_b,n_harmonics,theta_max_0,theta_max_1,theta_max_2,phi_angular_0,phi_angular_1,phi_angular_2,omega_h,amplitude_h_0,amplitude_h_1,amplitude_h_2,phi_horizontal_0,phi_horizontal_1,phi_horizontal_2,geometry_a,geometry_b,geometry_n,fill_level,fidelity,t_checkpoint,completed_at
0,c8d9663d,1.5708,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:06:03Z
1,bdeaf5fe,1.5708,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:07:59Z
2,4ea5cb3c,1.5708,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:09:43Z
3,34fbd278,1.5708,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:13:46Z
4,3c44a5f1,1.5708,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:46:52Z
5,e104d9f2,1.5708,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T03:50:36Z
6,3226a52d,1.8326,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,93.93498066609428,2026-06-20T22:18:42Z
7,59d61b19,1.8326,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,97.76602008700408,2026-06-20T22:18:49Z
8,569a03ae,1.8326,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,96.3614496556596,2026-06-20T22:18:56Z
9,4788e425,1.8326,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,92.87951994811252,2026-06-20T22:19:04Z
10,3e45e7e5,1.8326,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,99.11785512955412,2026-06-20T22:19:12Z
11,a249240c,1.8326,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,95.46439967464504,2026-06-20T22:19:19Z
12,38f2ace7,2.0944,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,149.64060873552225,2026-06-20T22:51:54Z
13,88b003e8,2.0944,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,154.05554680376397,2026-06-20T22:52:01Z
